Entity,Code,Year,Share of global CO2 emissions
India,IND,1880,0.221402
India,IND,1881,0.208817
India,IND,1882,0.236071
India,IND,1883,0.246734
India,IND,1884,0.272865
India,IND,1885,0.244004
India,IND,1886,0.270763
India,IND,1887,0.28522
India,IND,1888,0.28644
India,IND,1889,0.337993
India,IND,1890,0.341849
India,IND,1891,0.351765
India,IND,1892,0.383598
India,IND,1893,0.410112
India,IND,1894,0.401606
India,IND,1895,0.474409
India,IND,1896,0.496877
India,IND,1897,0.51464
India,IND,1898,0.539481
India,IND,1899,0.544122
India,IND,1900,0.611669
India,IND,1901,0.654049
India,IND,1902,0.702424
India,IND,1903,0.656444
India,IND,1904,0.726664
India,IND,1905,0.697546
India,IND,1906,0.766636
India,IND,1907,0.755203
India,IND,1908,0.897718
India,IND,1909,0.836545
India,IND,1910,0.775912
India,IND,1911,0.804084
India,IND,1912,0.883581
India,IND,1913,0.901017
India,IND,1914,1.000386
India,IND,1915,1.060503
India,IND,1916,0.993711
India,IND,1917,0.992755
India,IND,1918,1.131852
India,IND,1919,1.425502
India,IND,1920,0.994108
India,IND,1921,1.218534
India,IND,1922,1.142954
India,IND,1923,1.036244
India,IND,1924,1.105013
India,IND,1925,1.082363
India,IND,1926,1.098554
India,IND,1927,1.054609
India,IND,1928,1.013901
India,IND,1929,0.982664
India,IND,1930,1.083779
India,IND,1931,1.111119
India,IND,1932,1.146213
India,IND,1933,1.06865
India,IND,1934,1.097345
India,IND,1935,1.092878
India,IND,1936,0.977766
India,IND,1937,1.01308
India,IND,1938,1.203581
India,IND,1939,1.113744
India,IND,1940,1.081186
India,IND,1941,1.083202
India,IND,1942,1.086505
India,IND,1943,0.931051
India,IND,1944,0.936706
India,IND,1945,1.249043
India,IND,1946,1.130099
India,IND,1947,1.039383
India,IND,1948,0.987703
India,IND,1949,1.07439
India,IND,1950,1.020308
India,IND,1951,1.006072
India,IND,1952,1.045416
India,IND,1953,1.03611
India,IND,1954,1.068953
India,IND,1955,1.061012
India,IND,1956,1.032838
India,IND,1957,1.122006
India,IND,1958,1.140721
India,IND,1959,1.148184
India,IND,1960,1.194344
India,IND,1961,1.288832
India,IND,1962,1.370592
India,IND,1963,1.393629
India,IND,1964,1.297057
India,IND,1965,1.365849
India,IND,1966,1.353198
India,IND,1967,1.312742
India,IND,1968,1.357922
India,IND,1969,1.297458
India,IND,1970,1.227202
India,IND,1971,1.245982
India,IND,1972,1.259334
India,IND,1973,1.231447
India,IND,1974,1.276908
India,IND,1975,1.387409
India,IND,1976,1.376804
India,IND,1977,1.417855
India,IND,1978,1.389742
India,IND,1979,1.421197
India,IND,1980,1.507958
India,IND,1981,1.673778
India,IND,1982,1.742059
India,IND,1983,1.86815
India,IND,1984,1.863438
India,IND,1985,1.97879
India,IND,1986,2.092104
India,IND,1987,2.164459
India,IND,1988,2.251401
India,IND,1989,2.438983
India,IND,1990,2.54955
India,IND,1991,2.659122
India,IND,1992,2.923698
India,IND,1993,2.989585
India,IND,1994,3.139267
India,IND,1995,3.267327
India,IND,1996,3.43502
India,IND,1997,3.554727
India,IND,1998,3.641071
India,IND,1999,3.895335
India,IND,2000,3.89516
India,IND,2001,3.918053
India,IND,2002,3.947519
India,IND,2003,3.898325
India,IND,2004,3.952391
India,IND,2005,4.031706
India,IND,2006,4.146637
India,IND,2007,4.339239
India,IND,2008,4.578265
India,IND,2009,5.124919
India,IND,2010,5.066048
India,IND,2011,5.162486
India,IND,2012,5.584903
