Entity,Code,Year,Cumulative CO2 emissions
India,IND,1858,0.395232
India,IND,1859,1.032917
India,IND,1860,1.677244
India,IND,1861,2.175435
India,IND,1862,2.726767
India,IND,1863,3.337881
India,IND,1864,3.915783
India,IND,1865,4.483721
India,IND,1866,5.124727
India,IND,1878,6.894966
India,IND,1879,8.582385
India,IND,1880,10.472508
India,IND,1881,12.315122
India,IND,1882,14.515127
India,IND,1883,16.960351
India,IND,1884,19.69495
India,IND,1885,22.1586
India,IND,1886,24.935217
India,IND,1887,28.006364
India,IND,1888,31.421523
India,IND,1889,35.449737
India,IND,1890,39.888524
India,IND,1891,44.668586
India,IND,1892,49.924201
India,IND,1893,55.475797
India,IND,1894,61.101756
India,IND,1895,68.148076
India,IND,1896,75.768738
India,IND,1897,84.03546
India,IND,1898,93.17577
India,IND,1899,103.246972
India,IND,1900,115.196619
India,IND,1901,128.398076
India,IND,1902,142.937866
India,IND,1903,157.764404
India,IND,1904,174.352384
India,IND,1905,191.310739
India,IND,1906,210.892271
India,IND,1907,232.701269
India,IND,1908,257.651432
India,IND,1909,281.833049
India,IND,1910,305.359912
India,IND,1911,330.184104
India,IND,1912,358.753827
India,IND,1913,390.273796
India,IND,1914,422.025991
India,IND,1915,455.223864
India,IND,1916,488.798012
India,IND,1917,523.87757
India,IND,1918,563.304913
India,IND,1919,606.353952
India,IND,1920,641.280894
India,IND,1921,678.849783
India,IND,1922,715.815563
India,IND,1923,753.851985
India,IND,1924,794.549462
India,IND,1925,834.703008
India,IND,1926,874.714528
India,IND,1927,916.670813
India,IND,1928,956.817778
India,IND,1929,998.602536
India,IND,1930,1041.080176
India,IND,1931,1080.002488
India,IND,1932,1116.19812
India,IND,1933,1151.730425
India,IND,1934,1191.413868
India,IND,1935,1232.88263
India,IND,1936,1273.64134
India,IND,1937,1318.790817
India,IND,1938,1369.263525
India,IND,1939,1418.666919
India,IND,1940,1471.072926
India,IND,1941,1524.750756
India,IND,1942,1578.376919
India,IND,1943,1625.105101
India,IND,1944,1672.886865
India,IND,1945,1725.856657
India,IND,1946,1778.176523
India,IND,1947,1831.454206
India,IND,1948,1884.755616
India,IND,1949,1941.045868
India,IND,1950,2002.247516
India,IND,1951,2066.372402
India,IND,1952,2133.907951
India,IND,1953,2202.724132
India,IND,1954,2275.251989
India,IND,1955,2354.15984
India,IND,1956,2435.939036
India,IND,1957,2527.711707
India,IND,1958,2623.670422
India,IND,1959,2725.267597
India,IND,1960,2836.758321
India,IND,1961,2957.341477
India,IND,1962,3090.117682
India,IND,1963,3232.76999
India,IND,1964,3372.457943
India,IND,1965,3526.379429
India,IND,1966,3685.973372
India,IND,1967,3845.753733
India,IND,1968,4020.056508
India,IND,1969,4197.702441
India,IND,1970,4379.658007
India,IND,1971,4571.861052
India,IND,1972,4775.150365
India,IND,1973,4984.505207
India,IND,1974,5200.63295
India,IND,1975,5435.146231
India,IND,1976,5680.214051
India,IND,1977,5939.510429
India,IND,1978,6202.989311
India,IND,1979,6479.614564
India,IND,1980,6771.697687
India,IND,1981,7087.060346
India,IND,1982,7412.84214
India,IND,1983,7765.479336
India,IND,1984,8127.475184
India,IND,1985,8525.544805
India,IND,1986,8952.369375
India,IND,1987,9408.263034
India,IND,1988,9900.553792
India,IND,1989,10441.84608
India,IND,1990,11020.53308
India,IND,1991,11636.63904
India,IND,1992,12292.86166
India,IND,1993,12970.97743
India,IND,1994,13688.10489
India,IND,1995,14450.4428
India,IND,1996,15276.59402
India,IND,1997,16136.52332
India,IND,1998,17014.4628
India,IND,1999,17966.13399
India,IND,2000,18944.56095
India,IND,2001,19937.09012
India,IND,2002,20959.93911
India,IND,2003,22019.35502
India,IND,2004,23144.61869
India,IND,2005,24330.37936
India,IND,2006,25589.90182
India,IND,2007,26947.81742
India,IND,2008,28410.39141
India,IND,2009,30022.90609
India,IND,2010,31701.38476
India,IND,2011,33467.4498
India,IND,2012,35408.76246
India,IND,2013,37442.17475
India,IND,2014,39626.60692
India,IND,2015,41880.0357
India,IND,2016,44272.39543
India,IND,2017,46729.24307
India,IND,2018,49320.56681
India,IND,2019,51937.01563
